platform,content,score,user,time,movie_id,clean_content,words,word_count,sentiment_label,sentiment_prob,sentiment_text
豆瓣电影,不必对比什么 作为里程碑他已经无敌,5,电子梦,2023-01-22 12:01:06,35267208,不必对比什么 作为里程碑他已经无敌,"['不必', '对比', '作为', '里程碑', '已经', '无敌']",6,2,0.47182151675224304,正面
豆瓣电影,三星半。郭帆拍片的恳切，在场景设计和视效的细腻度上，被展现得淋漓尽致，又一次拉高了中国科幻作品的工业水准。雪健老师依旧老辣，刘德华则收获了近年来最有挑战的角色。可惜的是，这部续作在叙事层面太过松散，刘培强、图恒宇两条主线并行，还要给周喆直超大篇幅，以至于情节取舍变得犹疑不决，这对节奏先行的科幻片来说是大忌。角色的篆刻比重，是该系列在未来第一优先要做的功课。,3,HarperDie,2023-01-22 11:53:37,35267208,三星半。郭帆拍片的恳切，在场景设计和视效的细腻度上，被展现得淋漓尽致，又一次拉高了中国科幻作品的工业水准。雪健老师依旧老辣，刘德华则收获了近年来最有挑战的角色。可惜的是，这部续作在叙事层面太过松散，刘培强、图恒宇两条主线并行，还要给周喆直超大篇幅，以至于情节取舍变得犹疑不决，这对节奏先行的科幻片来说是大忌。角色的篆刻比重，是该系列在未来第一优先要做的功课。,"['三星', '郭帆', '拍片', '恳切', '场景', '设计', '视效', '细腻', '度上', '展现', '淋漓尽致', '一次', '拉高', '中国', '科幻', '作品', '工业', '水准', '雪健', '老师', '依旧', '老辣', '刘德华', '收获', '近年来', '最有', '挑战', '角色', '可惜', '这部', '续作', '叙事', '层面', '太过', '松散', '刘培强', '图恒宇', '两条', '主线', '并行', '还要', '周喆直', '超大', '篇幅', '以至于', '情节', '取舍', '变得', '犹疑不决', '节奏', '先行', '科幻片', '大忌', '角色', '篆刻', '比重', '系列', '未来', '第一', '优先', '功课']",61,2,0.5187957286834717,正面
豆瓣电影,2019年看第一部的时候就想着，回国之后如果能在这样的剧组工作就好了，结果今年就真的在这部的片尾字幕了。🥰与有荣焉。今天很想念组里的朋友们。,5,DrunkenPeach,2023-01-22 13:57:05,35267208,年看第一部的时候就想着，回国之后如果能在这样的剧组工作就好了，结果今年就真的在这部的片尾字幕了。与有荣焉。今天很想念组里的朋友们。,"['第一部', '时候', '想着', '回国', '之后', '剧组', '工作', '结果', '今年', '真的', '这部', '片尾', '字幕', '有荣', '今天', '想念', '组里', '朋友']",18,2,0.4385465681552887,正面
豆瓣电影,原来人死后还要继续干生前的活儿是真的。,4,了不起的花轮君,2023-01-22 16:31:45,35267208,原来人死后还要继续干生前的活儿是真的。,"['原来', '人死', '还要', '继续', '生前', '活儿', '真的']",7,1,0.3947206735610962,中性
豆瓣电影,故事冗长且稀碎。想讲的太多，一样都没有完全说清楚。我全程给我妈讲解，坐我旁边的也在全程给他妈讲解。其实2044年那段没有塞在这部里的必要。关于生命和文明，现实和虚拟，只有标签和口号，没有智性的讨论。全程就是看一群固执的爹抗拒自然，不被任何人和事说服甚至动摇，强行按自己的意志支配地球和地球上的所有生命，并称之为「勇气」，前脚才感叹「人类把最强的密码用在了互相攻击的武器上」后腿就把人类分成「我们的」和「你们的」一面想当老大「我们比你们其他任何人都要正确伟大光荣，听我们的就对了」一面装和气「我们是为全人类考虑，是在（为我们伟大光荣正确的决策所造成的后果）承担责任，不是想搞强霸」，全片刻意制造的笑点，都没有这种又啥又啥的自我矛盾好笑。,3,小斑,2023-01-22 16:17:58,35267208,故事冗长且稀碎。想讲的太多，一样都没有完全说清楚。我全程给我妈讲解，坐我旁边的也在全程给他妈讲解。其实年那段没有塞在这部里的必要。关于生命和文明，现实和虚拟，只有标签和口号，没有智性的讨论。全程就是看一群固执的爹抗拒自然，不被任何人和事说服甚至动摇，强行按自己的意志支配地球和地球上的所有生命，并称之为「勇气」，前脚才感叹「人类把最强的密码用在了互相攻击的武器上」后腿就把人类分成「我们的」和「你们的」一面想当老大「我们比你们其他任何人都要正确伟大光荣，听我们的就对了」一面装和气「我们是为全人类考虑，是在（为我们伟大光荣正确的决策所造成的后果）承担责任，不是想搞强霸」，全片刻意制造的笑点，都没有这种又啥又啥的自我矛盾好笑。,"['故事', '冗长', '稀碎', '一样', '完全', '清楚', '全程', '讲解', '旁边', '全程', '讲解', '那段', '这部', '必要', '关于', '生命', '文明', '现实', '虚拟', '标签', '口号', '智性', '讨论', '全程', '一群', '固执', '抗拒', '自然', '任何人', '说服', '甚至', '动摇', '强行', '意志', '支配', '地球', '地球', '所有', '生命', '称之为', '勇气', '前脚', '感叹', '人类', '最强', '密码', '互相攻击', '武器', '后腿', '人类', '分成', '我们', '你们', '一面', '想当', '老大', '我们', '你们', '其他', '任何人', '正确', '伟大光荣', '我们', '一面', '装和气', '我们', '全人类', '考虑', '我们', '伟大光荣', '正确', '决策', '造成', '后果', '承担责任', '不是', '强霸', '片刻', '制造', '这种', '自我', '矛盾', '好笑']",83,2,0.5158757567405701,正面
豆瓣电影,“这是俄罗斯的型号，没有安全保险，只有两个扳机。”,4,无名英熊,2023-01-22 19:19:50,35267208,这是俄罗斯的型号，没有安全保险，只有两个扳机。,"['这是', '俄罗斯', '型号', '安全', '保险', '两个', '扳机']",7,2,0.558193027973175,正面
豆瓣电影,刘德华那条线有点儿意思，为这个系列电影开启了新维度。太长了，删减强制煽情正能量能短30min。,4,崇魔媚沪的王黑,2023-01-22 12:06:58,35267208,刘德华那条线有点儿意思，为这个系列电影开启了新维度。太长了，删减强制煽情正能量能短min。,"['刘德华', '那条', '有点儿', '意思', '这个', '系列', '电影', '开启', '维度', '太长', '删减', '强制', '煽情', '能量', 'min']",15,2,0.4908478856086731,正面
豆瓣电影,刘德华那条线，给整个电影情节优化了不止一点儿，尤其是溺水后推开门的那一刻，我瞬间：“这是国产电影能有的剧情吗？”,5,关山难越,2023-01-22 16:27:22,35267208,刘德华那条线，给整个电影情节优化了不止一点儿，尤其是溺水后推开门的那一刻，我瞬间：这是国产电影能有的剧情吗？,"['刘德华', '那条', '整个', '电影', '情节', '优化', '不止', '一点儿', '尤其', '溺水', '推开', '那一刻', '瞬间', '这是', '国产电影', '剧情']",16,2,0.46880048513412476,正面
豆瓣电影,没有预期好，就是个纪录片，情节太平淡。最佩服李雪健，屁事都没做，什么情况都不知道，就他信心最足，信念坚定，要真都他来做决定，都得玩完。,3,michaelz,2023-01-23 16:06:46,35267208,没有预期好，就是个纪录片，情节太平淡。最佩服李雪健，屁事都没做，什么情况都不知道，就他信心最足，信念坚定，要真都他来做决定，都得玩完。,"['预期', '纪录片', '情节', '平淡', '佩服', '李雪健', '屁事', '情况', '知道', '信心', '最足', '信念', '坚定', '决定', '玩完']",15,1,0.42229950428009033,中性
豆瓣电影,看到沙溢扮演的师傅喊出五十岁以上的出列时还是忍不住落泪,4,特凡人,2023-01-22 13:25:43,35267208,看到沙溢扮演的师傅喊出五十岁以上的出列时还是忍不住落泪,"['看到', '沙溢', '扮演', '师傅', '五十岁', '以上', '出列时', '忍不住', '落泪']",9,2,0.5460160374641418,正面
豆瓣电影,我的建议是，把网络服务中心迁移到高原上来,4,momo,2023-01-22 23:38:29,35267208,我的建议是，把网络服务中心迁移到高原上来,"['建议', '网络', '服务中心', '迁移', '高原', '上来']",6,2,0.4490816295146942,正面
豆瓣电影,四星半。《流浪地球2》比第一部进步很多，并将国产科幻大片提升到了前所未有的高度。世界观足够硬核，动作场面与特效更加恢弘也更加细致，尤其是对太空电梯的呈现，太惊艳了。剧作上也更扎实了，两次大型危机（太空电梯危机、月球坠落危机）、两种理念冲撞（数字生命计划与移山计划）、两个一体两面的主角……冲突线明晰，人物群像立体。同时，周喆直就是新时代的愚公，难怪这个角色要请李雪健老师来演。影片对愚公移山这样的中国精神有了更加丰富有力的传达，这也是区别于好莱坞大片的根本所在。,4,居无间,2023-01-22 12:33:12,35267208,四星半。《流浪地球》比第一部进步很多，并将国产科幻大片提升到了前所未有的高度。世界观足够硬核，动作场面与特效更加恢弘也更加细致，尤其是对太空电梯的呈现，太惊艳了。剧作上也更扎实了，两次大型危机（太空电梯危机、月球坠落危机）、两种理念冲撞（数字生命计划与移山计划）、两个一体两面的主角冲突线明晰，人物群像立体。同时，周喆直就是新时代的愚公，难怪这个角色要请李雪健老师来演。影片对愚公移山这样的中国精神有了更加丰富有力的传达，这也是区别于好莱坞大片的根本所在。,"['四星', '流浪', '地球', '第一部', '进步', '很多', '国产', '科幻', '大片', '提升', '前所未有', '高度', '世界观', '足够', '硬核', '动作', '场面', '特效', '更加', '恢弘', '更加', '细致', '尤其', '太空', '电梯', '呈现', '惊艳', '剧作', '扎实', '两次', '大型', '危机', '太空', '电梯', '危机', '月球', '坠落', '危机', '两种', '理念', '冲撞', '数字', '生命', '计划', '移山', '计划', '两个', '一体', '两面', '主角', '冲突', '明晰', '人物', '群像', '立体', '同时', '周喆直', '时代', '愚公', '难怪', '这个', '角色', '李雪健', '老师', '来演', '影片', '愚公移山', '中国', '精神', '更加', '丰富', '有力', '传达', '区别', '好莱坞', '大片', '根本', '所在']",78,2,0.5480659008026123,正面
